place,water_tap_id,lat,lon
"""Peter Mikheim puurkaev nr. 1"" kraan tööstuses",2643,,
*Tallinna Lindakivi Lasteaed (ära kasuta),306,59.4190641,24.7879346
*Tallinna Mardi Lasteaed (ära kasuta),306,59.4301643,24.7634613
12 Engevita SV ruum,819,,
12 korteriga elamu,1187,,
13 Vana kuivati,819,58.649835499999995,25.02807293460112
17 Blendi segamisruum,819,,
18 PPNide ruum,819,,
22 Separaatorite ruum,819,,
25 Tootmislabor,819,,
26 Villimisruum,819,,
4 ja 5 puurkaev koos,1106,62.2397012,25.7600456
6. kai,1084,43.374062,-3.030488063157079
8. ploki juhtimiskilp,535,50.2037646,19.5112465
8. ploki juhtismiskilp,535,50.2037646,19.5112465
A ja O kauplus,508,42.6661149,21.1674825
A. Juhhanovi tn hoone veetorustikud,421,59.38614615,28.191186640660916
ABC Motors,306,58.40762235,24.490972500000012
AS Agrovaru,656,58.2614005,22.5036369
AS Betoonelement Tamsalu tehase 1. söökla,1135,59.501071499999995,25.0135608646602
AS Elektritsentrum peakorter,306,,
AS Elektritsentrum peakorter,341,,
"AS Elme, hüdrant nr 12-1",168,43.7036825,7.3102103
"AS Elme, hüdrant nr 14-1",168,43.7036825,7.3102103
"AS Elme, hüdrant nr 5",168,43.7036825,7.3102103
"AS Elme, mahuti nr 1-2",168,43.7036825,7.3102103
"AS Elme, mahuti nr 3-5",168,43.7036825,7.3102103
"AS Elme, söökla",168,43.7036825,7.3102103
"AS Elme, veepuhastusjaam",168,43.7036825,7.3102103
AS Fazer,856,59.33788275,24.619812479054374
AS Hoolekandeteenused Tapa Kodu,971,,
AS Keila Taastusravikeskus,1213,60.176401350000006,24.830700043471342
AS Oskar LT tööstusest,550,-34.6442157,-58.6838079
AS Pihlaka,871,59.424505,24.5608923
AS RIAB,848,36.8171297,50.1632412
AS Rannarootsi Lihatööstus Rakvere Tootmine ruum nr 2,1043,58.9354911,23.5699227
AS Rannarootsi Lihatööstus Rakvere Tootmine ruum nr 3,1043,58.9354911,23.5699227
AS Rannarootsi Lihatööstus Rakvere Tootmine ruum nr 6,1043,58.9354911,23.5699227
AS Tallegg Lihatööstus,823,,
"AS Terrat, Meistri tee 4",1329,-3.4676717,36.6707959
